helper,version,commit
bpf_seq_printf,5.8,492e639f0c222784e2e0f121966375f641c61b15
bpf_seq_write,5.8,492e639f0c222784e2e0f121966375f641c61b15
bpf_sk_cgroup_id,5.8,f307fa2cb4c935f7f1ff0aeb880c7b44fb9a642b
bpf_sk_ancestor_cgroup_id,5.8,f307fa2cb4c935f7f1ff0aeb880c7b44fb9a642b
bpf_ringbuf_output,5.8,457f44363a8894135c85b7a9afd2bd8196db24ab
bpf_ringbuf_reserve,5.8,457f44363a8894135c85b7a9afd2bd8196db24ab
bpf_ringbuf_submit,5.8,457f44363a8894135c85b7a9afd2bd8196db24ab
bpf_ringbuf_discard,5.8,457f44363a8894135c85b7a9afd2bd8196db24ab
bpf_ringbuf_query,5.8,457f44363a8894135c85b7a9afd2bd8196db24ab
bpf_csum_level,5.8,7cdec54f9713256bb170873a1fc5c75c9127c9d2
bpf_skc_to_tcp6_sock,5.9,af7ec13833619e17f03aa73a785a2f871da6d66b
bpf_skc_to_tcp_sock,5.9,478cfbdf5f13dfe09cfd0b1cbac821f5e27f6108
bpf_skc_to_tcp_timewait_sock,5.9,478cfbdf5f13dfe09cfd0b1cbac821f5e27f6108
bpf_skc_to_tcp_request_sock,5.9,478cfbdf5f13dfe09cfd0b1cbac821f5e27f6108
bpf_skc_to_udp6_sock,5.9,0d4fad3e57df2bf61e8ffc8d12a34b1caf9b8835
bpf_get_task_stack,5.9,fa28dcb82a38f8e3993b0fae9106b1a80b59e4f0
